transaction_id,timestamp,date,day_of_week,hour,is_weekend,lane_type,lane_number,cashier_id,payment_method,n_items,n_fresh_items,has_fresh_products,basket_value_tnd,queue_wait_time_sec,scan_time_sec,weighing_time_sec,payment_time_sec,bagging_time_sec,other_delay_sec,delay_reason,total_transaction_time_sec,customer_satisfaction
TXN-CRT-001-000001,2026-07-01 08:18:07,2026-07-01,Wednesday,8,False,Traditional,3,CASH-104,Cash,12,3,True,47.99,24.9,56.9,42.9,45.1,16.9,0.0,,161.7,4
TXN-CRT-001-000002,2026-07-01 08:52:48,2026-07-01,Wednesday,8,False,Express (<10 items),12,CASH-141,Cash,11,4,True,59.83,76.3,49.5,17.8,57.1,31.2,0.0,,155.6,3
TXN-CRT-001-000003,2026-07-01 09:08:22,2026-07-01,Wednesday,9,False,Traditional,8,CASH-111,Flous (Mobile),7,2,True,50.26,150.0,40.9,23.4,29.2,29.6,0.0,,123.2,3
TXN-CRT-001-000004,2026-07-01 09:12:46,2026-07-01,Wednesday,9,False,Traditional,6,CASH-131,Cash,19,2,True,121.11,45.2,109.3,38.5,44.2,37.1,0.0,,229.1,4
TXN-CRT-001-000005,2026-07-01 09:19:24,2026-07-01,Wednesday,9,False,Traditional,5,CASH-115,Flous (Mobile),15,2,True,50.46,20.9,38.7,26.2,22.7,25.1,0.0,,112.6,4
TXN-CRT-001-000006,2026-07-01 09:30:39,2026-07-01,Wednesday,9,False,Traditional,8,CASH-108,Cash,35,7,True,270.16,85.5,190.1,15.5,57.1,16.7,0.0,,279.4,4
TXN-CRT-001-000007,2026-07-01 10:00:48,2026-07-01,Wednesday,10,False,Traditional,2,CASH-106,Card (International),2,0,False,14.36,35.9,12.0,0.0,42.3,15.1,0.0,,69.4,4
TXN-CRT-001-000008,2026-07-01 10:01:35,2026-07-01,Wednesday,10,False,Self-Service,11,,Flous (Mobile),20,5,True,60.38,24.6,204.5,80.2,26.3,45.1,0.0,,356.2,4
TXN-CRT-001-000009,2026-07-01 10:48:00,2026-07-01,Wednesday,10,False,Traditional,3,CASH-129,Cash,26,6,True,250.45,12.4,146.0,27.7,70.7,16.7,40.1,Price check required,301.2,2
TXN-CRT-001-000010,2026-07-01 10:49:14,2026-07-01,Wednesday,10,False,Traditional,7,CASH-126,Cash,26,5,True,155.98,74.5,134.2,26.3,40.4,22.7,0.0,,223.5,3
